experiment,game_id,white_strategy,black_strategy,result,winner,move_count,duration_s,error,started_at,finished_at
"opening-intelligence-endgame vs all","d1e84df2-edc4-48b4-94a4-d3e28351a505","opening-intelligence-endgame","endgame-minimax","Draw","",46,53,624,"",2026-04-12 00:30:27,2026-04-12 00:31:21
"opening-intelligence-endgame vs all","bbad8839-7aef-4275-bb22-ecdfd75dc304","opening-intelligence-endgame","endgame-minimax","","",0,300,017,"Timed out while waiting for backend game completion",2026-04-12 00:31:21,2026-04-12 00:36:21
"opening-intelligence-endgame vs all","8ed02a4b-e71d-42c1-b963-7647da7e5aab","opening-intelligence-endgame","endgame-minimax","","",0,300,022,"Timed out while waiting for backend game completion",2026-04-12 00:36:21,2026-04-12 00:41:21
"opening-intelligence-endgame vs all","b9040582-f12b-41a9-9c20-f7f2a119132d","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",109,128,710,"",2026-04-12 00:41:21,2026-04-12 00:43:30
"opening-intelligence-endgame vs all","fdd8a265-ee6a-4b5c-babc-eaf42ffef5ed","endgame-minimax","opening-intelligence-endgame","BlackWin","black",102,128,839,"",2026-04-12 00:43:30,2026-04-12 00:45:39
"opening-intelligence-endgame vs all","d751ca18-fc3d-4252-9130-c2684b18e846","endgame-minimax","opening-intelligence-endgame","BlackWin","black",94,116,679,"",2026-04-12 00:45:39,2026-04-12 00:47:35
"opening-intelligence-endgame vs all","6e95d068-7254-4946-a7ea-925b136aeedc","endgame-minimax","opening-intelligence-endgame","BlackWin","black",82,101,402,"",2026-04-12 00:47:35,2026-04-12 00:49:17
"opening-intelligence-endgame vs all","365d5fdf-6ee2-4610-b81d-7c3e303b89e4","endgame-minimax","opening-intelligence-endgame","BlackWin","black",64,82,733,"",2026-04-12 00:49:17,2026-04-12 00:50:40
"opening-intelligence-endgame vs all","cc84a796-5946-45c1-b3d0-dc746b68472c","endgame-minimax","opening-intelligence-endgame","Draw","",46,56,159,"",2026-04-12 00:50:40,2026-04-12 00:51:36
"opening-intelligence-endgame vs all","1571c486-6fc2-47b6-9c68-b322625b8fb2","endgame-minimax","opening-intelligence-endgame","BlackWin","black",80,98,868,"",2026-04-12 00:51:36,2026-04-12 00:53:15
"opening-intelligence-endgame vs all","29babddf-c9c6-4e89-9353-1d707a4b64fe","endgame-minimax","opening-intelligence-endgame","BlackWin","black",60,75,398,"",2026-04-12 00:53:15,2026-04-12 00:54:30
"opening-intelligence-endgame vs all","d5864cfe-1ad8-405f-ac1b-60e101709e9f","endgame-minimax","opening-intelligence-endgame","BlackWin","black",114,140,834,"",2026-04-12 00:54:30,2026-04-12 00:56:51
"opening-intelligence-endgame vs all","5a9ac905-d383-491d-a624-8fba1046b112","endgame-minimax","opening-intelligence-endgame","BlackWin","black",122,147,877,"",2026-04-12 00:56:51,2026-04-12 00:59:19
"opening-intelligence-endgame vs all","d487de1b-7ec0-498e-9a44-40321cc431fb","endgame-minimax","opening-intelligence-endgame","BlackWin","black",62,76,860,"",2026-04-12 00:59:19,2026-04-12 01:00:36
"opening-intelligence-endgame vs all","b0336746-efbf-49a7-b970-49b1239497ee","endgame-minimax","opening-intelligence-endgame","BlackWin","black",52,63,314,"",2026-04-12 01:00:36,2026-04-12 01:01:39
"opening-intelligence-endgame vs all","8d85393c-3ebf-46a6-9aac-c7746a351535","endgame-minimax","opening-intelligence-endgame","BlackWin","black",76,94,938,"",2026-04-12 01:01:39,2026-04-12 01:03:14
"opening-intelligence-endgame vs all","f9c1f612-f96e-4a9c-8b60-c4c0be78acc1","endgame-minimax","opening-intelligence-endgame","BlackWin","black",100,121,016,"",2026-04-12 01:03:14,2026-04-12 01:05:15
"opening-intelligence-endgame vs all","26ca9187-683b-4766-ad7a-867563daa864","endgame-minimax","opening-intelligence-endgame","Draw","",45,55,088,"",2026-04-12 01:05:15,2026-04-12 01:06:10
"opening-intelligence-endgame vs all","e96d01e5-da48-4745-931d-57795bce9117","endgame-minimax","opening-intelligence-endgame","Draw","",55,65,931,"",2026-04-12 01:06:10,2026-04-12 01:07:16
"opening-intelligence-endgame vs all","a5aa7cdc-0e96-49fd-9dbf-b9e25d2d0403","endgame-minimax","opening-intelligence-endgame","Draw","",58,73,394,"",2026-04-12 01:07:16,2026-04-12 01:08:29
"opening-intelligence-endgame vs all","c2611b97-1b6f-44ec-a78f-b0ceeb20a870","endgame-minimax","opening-intelligence-endgame","BlackWin","black",74,92,262,"",2026-04-12 01:08:29,2026-04-12 01:10:02
"opening-intelligence-endgame vs all","dcf9088c-a92c-4d6c-ba29-9b5375543390","endgame-minimax","opening-intelligence-endgame","Draw","",45,53,344,"",2026-04-12 01:10:02,2026-04-12 01:10:55
"opening-intelligence-endgame vs all","9f94dc1a-a415-46da-8adc-a063ee5828a0","endgame-minimax","opening-intelligence-endgame","BlackWin","black",70,87,303,"",2026-04-12 01:10:55,2026-04-12 01:12:22
"opening-intelligence-endgame vs all","3d2e97bb-cd0f-4dd3-a11e-2bb51f57221c","endgame-minimax","opening-intelligence-endgame","BlackWin","black",116,143,832,"",2026-04-12 01:12:22,2026-04-12 01:14:46
